rank,policy,split,accuracy,final_accuracy,accuracy_difference,accuracy_retention,average_attempts,average_attempts_saved,attempt_savings_rate,token_savings_rate,incorrect_early_stops,protected_from_regression,efficiency_score
1,two_answer_agreement,train,0.94,0.94,0.0,1.0,2.09,1.91,0.4775,0.4660600545950864,0,0,1.3780964513193812
2,consecutive_2_min_2,train,0.94,0.94,0.0,1.0,2.15,1.85,0.4625,0.4421110100090992,0,0,1.3555843494085533
3,unanimous_min_2,train,0.94,0.94,0.0,1.0,2.18,1.82,0.455,0.4322838944494995,0,0,1.3463468607825295
4,vote_share_0_67_min_2,train,0.94,0.94,0.0,1.0,2.18,1.82,0.455,0.4322838944494995,0,0,1.3463468607825295
5,vote_share_0_75_min_2,train,0.94,0.94,0.0,1.0,2.18,1.82,0.455,0.4322838944494995,0,0,1.3463468607825295
6,vote_margin_0_5_min_2,train,0.94,0.94,0.0,1.0,2.18,1.82,0.455,0.4322838944494995,0,0,1.3463468607825295
7,entropy_0_0_min_2,train,0.94,0.94,0.0,1.0,2.18,1.82,0.455,0.4322838944494995,0,0,1.3463468607825295
8,entropy_0_8_min_2,train,0.94,0.94,0.0,1.0,2.18,1.82,0.455,0.4322838944494995,0,0,1.3463468607825295
9,combined_vote_0_75_entropy_0_8_agreement_2,train,0.94,0.94,0.0,1.0,2.18,1.82,0.455,0.4322838944494995,0,0,1.3463468607825295
10,fixed_3,train,0.94,0.94,0.0,1.0,3.0,1.0,0.25,0.2444040036396724,0,0,1.169739763421292
11,stable_majority_2_min_3,train,0.94,0.94,0.0,1.0,3.08,0.92,0.23,0.2121929026387625,0,0,1.1394613284804367
12,fixed_4,train,0.94,0.94,0.0,1.0,4.0,0.0,0.0,0.0,0,0,0.94
13,fixed_2,train,0.92,0.94,-0.0199999999999999,0.9787234042553192,2.0,2.0,0.5,0.4993387928419776,3,1,1.3793916894146194
1,fixed_2,validation,0.94,0.94,0.0,1.0,2.0,2.0,0.5,0.5025157955198162,0,0,1.412364847788627
2,consecutive_2_min_2,validation,0.94,0.94,0.0,1.0,2.04,1.96,0.49,0.4841125789775991,0,0,1.395065824238943
3,two_answer_agreement,validation,0.94,0.94,0.0,1.0,2.04,1.96,0.49,0.4841125789775991,0,0,1.395065824238943
4,unanimous_min_2,validation,0.94,0.94,0.0,1.0,2.08,1.92,0.48,0.465295807007467,0,0,1.3773780585870188
5,vote_share_0_67_min_2,validation,0.94,0.94,0.0,1.0,2.08,1.92,0.48,0.465295807007467,0,0,1.3773780585870188
6,vote_share_0_75_min_2,validation,0.94,0.94,0.0,1.0,2.08,1.92,0.48,0.465295807007467,0,0,1.3773780585870188
7,vote_margin_0_5_min_2,validation,0.94,0.94,0.0,1.0,2.08,1.92,0.48,0.465295807007467,0,0,1.3773780585870188
8,entropy_0_0_min_2,validation,0.94,0.94,0.0,1.0,2.08,1.92,0.48,0.465295807007467,0,0,1.3773780585870188
9,entropy_0_8_min_2,validation,0.94,0.94,0.0,1.0,2.08,1.92,0.48,0.465295807007467,0,0,1.3773780585870188
10,combined_vote_0_75_entropy_0_8_agreement_2,validation,0.94,0.94,0.0,1.0,2.08,1.92,0.48,0.465295807007467,0,0,1.3773780585870188
11,fixed_3,validation,0.94,0.94,0.0,1.0,3.0,1.0,0.25,0.2511430212521539,0,0,1.1760744399770247
12,stable_majority_2_min_3,validation,0.94,0.94,0.0,1.0,3.0,1.0,0.25,0.2511430212521539,0,0,1.1760744399770247
13,fixed_4,validation,0.94,0.94,0.0,1.0,4.0,0.0,0.0,0.0,0,0,0.94
