policy,split,questions,accuracy,final_accuracy,accuracy_difference,average_attempts,average_maximum_attempts,average_attempts_saved,attempt_savings_rate,total_tokens_used,total_maximum_tokens,total_tokens_saved,token_savings_rate,stopped_early_count,stopped_early_rate,incorrect_early_stops,protected_from_regression,policy_triggered_count,policy_triggered_rate
two_answer_agreement,train,100,0.94,0.94,0.0,2.09,4.0,1.91,0.4775,44010.0,82425.0,38415.0,0.4660600545950864,100,1.0,0,0,100,1.0
consecutive_2_min_2,train,100,0.94,0.94,0.0,2.15,4.0,1.85,0.4625,45984.0,82425.0,36441.0,0.4421110100090992,94,0.94,0,0,98,0.98
unanimous_min_2,train,100,0.94,0.94,0.0,2.18,4.0,1.82,0.455,46794.0,82425.0,35631.0,0.43228389444949955,91,0.91,0,0,91,0.91
vote_share_0_67_min_2,train,100,0.94,0.94,0.0,2.18,4.0,1.82,0.455,46794.0,82425.0,35631.0,0.43228389444949955,91,0.91,0,0,97,0.97
vote_share_0_75_min_2,train,100,0.94,0.94,0.0,2.18,4.0,1.82,0.455,46794.0,82425.0,35631.0,0.43228389444949955,91,0.91,0,0,97,0.97
vote_margin_0_5_min_2,train,100,0.94,0.94,0.0,2.18,4.0,1.82,0.455,46794.0,82425.0,35631.0,0.43228389444949955,91,0.91,0,0,97,0.97
entropy_0_0_min_2,train,100,0.94,0.94,0.0,2.18,4.0,1.82,0.455,46794.0,82425.0,35631.0,0.43228389444949955,91,0.91,0,0,91,0.91
entropy_0_8_min_2,train,100,0.94,0.94,0.0,2.18,4.0,1.82,0.455,46794.0,82425.0,35631.0,0.43228389444949955,91,0.91,0,0,91,0.91
combined_vote_0_75_entropy_0_8_agreement_2,train,100,0.94,0.94,0.0,2.18,4.0,1.82,0.455,46794.0,82425.0,35631.0,0.43228389444949955,91,0.91,0,0,91,0.91
fixed_3,train,100,0.94,0.94,0.0,3.0,4.0,1.0,0.25,62280.0,82425.0,20145.0,0.24440400363967243,100,1.0,0,0,100,1.0
stable_majority_2_min_3,train,100,0.94,0.94,0.0,3.08,4.0,0.92,0.23,64935.0,82425.0,17490.0,0.2121929026387625,92,0.92,0,0,96,0.96
fixed_4,train,100,0.94,0.94,0.0,4.0,4.0,0.0,0.0,82425.0,82425.0,0.0,0.0,0,0.0,0,0,100,1.0
fixed_2,train,100,0.92,0.94,-0.019999999999999907,2.0,4.0,2.0,0.5,41267.0,82425.0,41158.0,0.4993387928419776,100,1.0,3,1,100,1.0
fixed_2,validation,50,0.94,0.94,0.0,2.0,4.0,2.0,0.5,21653.0,43525.0,21872.0,0.5025157955198162,50,1.0,0,0,50,1.0
consecutive_2_min_2,validation,50,0.94,0.94,0.0,2.04,4.0,1.96,0.49,22454.0,43525.0,21071.0,0.4841125789775991,50,1.0,0,0,50,1.0
two_answer_agreement,validation,50,0.94,0.94,0.0,2.04,4.0,1.96,0.49,22454.0,43525.0,21071.0,0.4841125789775991,50,1.0,0,0,50,1.0
unanimous_min_2,validation,50,0.94,0.94,0.0,2.08,4.0,1.92,0.48,23273.0,43525.0,20252.0,0.465295807007467,48,0.96,0,0,48,0.96
vote_share_0_67_min_2,validation,50,0.94,0.94,0.0,2.08,4.0,1.92,0.48,23273.0,43525.0,20252.0,0.465295807007467,48,0.96,0,0,50,1.0
vote_share_0_75_min_2,validation,50,0.94,0.94,0.0,2.08,4.0,1.92,0.48,23273.0,43525.0,20252.0,0.465295807007467,48,0.96,0,0,50,1.0
vote_margin_0_5_min_2,validation,50,0.94,0.94,0.0,2.08,4.0,1.92,0.48,23273.0,43525.0,20252.0,0.465295807007467,48,0.96,0,0,50,1.0
entropy_0_0_min_2,validation,50,0.94,0.94,0.0,2.08,4.0,1.92,0.48,23273.0,43525.0,20252.0,0.465295807007467,48,0.96,0,0,48,0.96
entropy_0_8_min_2,validation,50,0.94,0.94,0.0,2.08,4.0,1.92,0.48,23273.0,43525.0,20252.0,0.465295807007467,48,0.96,0,0,48,0.96
combined_vote_0_75_entropy_0_8_agreement_2,validation,50,0.94,0.94,0.0,2.08,4.0,1.92,0.48,23273.0,43525.0,20252.0,0.465295807007467,48,0.96,0,0,48,0.96
fixed_3,validation,50,0.94,0.94,0.0,3.0,4.0,1.0,0.25,32594.0,43525.0,10931.0,0.25114302125215393,50,1.0,0,0,50,1.0
stable_majority_2_min_3,validation,50,0.94,0.94,0.0,3.0,4.0,1.0,0.25,32594.0,43525.0,10931.0,0.25114302125215393,50,1.0,0,0,50,1.0
fixed_4,validation,50,0.94,0.94,0.0,4.0,4.0,0.0,0.0,43525.0,43525.0,0.0,0.0,0,0.0,0,0,50,1.0
